remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:33:18 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,RBT10_760:O,"","AB:ETHERNET_MODULE_SINT_18Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB20_7:I,"","SM:EX260_SEN1:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB20_7:O,"","SM:EX260_SEN1:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_750:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_750:I,"","AB:ETHERNET_MODULE_SINT_25Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,RBT10_750:O,"","AB:ETHERNET_MODULE_SINT_22Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO11_420:1:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:2:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:3:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:4:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:4:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:5:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:5:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO11_420:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:6:I,"","","PIO11_420:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO11_420:7:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:7:I,"","","PIO11_420:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO11_420:8:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:8:I,"","","PIO11_420:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:8:O,"","","PIO11_420:O.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO11_420:9:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:9:I,"","","PIO11_420:I.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO11_420:9:O,"","","PIO11_420:O.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO11_420:I,"","AB:1734_10SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO11_420:O,"","AB:1734_10SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB22_2:I,"","SM:EX260_SEN1:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,VB22_2:O,"","SM:EX260_SEN1:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_701:C,"","AB:ETHERNET_MODULE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_701:I,"","AB:ETHERNET_MODULE_INT_32Bytes:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,DRV12_701:O,"","AB:ETHERNET_MODULE_INT_32Bytes:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO10_460:1:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:2:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:3:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:4:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:4:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_460:5:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:5:I,"","","PIO10_460:I.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_460:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:6:I,"","","PIO10_460:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_460:7:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:7:I,"","","PIO10_460:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:7:O,"","","PIO10_460:O.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_460:8:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:8:I,"","","PIO10_460:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_460:8:O,"","","PIO10_460:O.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_460:I,"","AB:1734_9SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO10_460:O,"","AB:1734_9SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO10_420:10:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:10:I,"","","PIO10_420:I.Data[10]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:11:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:11:I,"","","PIO10_420:I.Data[11]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:12:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:12:I,"","","PIO10_420:I.Data[12]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:13:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:13:I,"","","PIO10_420:I.Data[13]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:14:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:14:I,"","","PIO10_420:I.Data[14]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:14:O,"","","PIO10_420:O.Data[14]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:15:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:15:I,"","","PIO10_420:I.Data[15]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:15:O,"","","PIO10_420:O.Data[15]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:16:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:16:I,"","","PIO10_420:I.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:16:O,"","","PIO10_420:O.Data[16]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:17:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:17:I,"","","PIO10_420:I.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:17:O,"","","PIO10_420:O.Data[17]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:18:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:18:I,"","","PIO10_420:I.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:18:O,"","","PIO10_420:O.Data[18]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:19:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:19:I,"","","PIO10_420:I.Data[19]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:19:O,"","","PIO10_420:O.Data[19]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:1:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:20:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:20:I,"","","PIO10_420:I.Data[20]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:20:O,"","","PIO10_420:O.Data[20]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:21:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:21:I,"","","PIO10_420:I.Data[21]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:21:O,"","","PIO10_420:O.Data[21]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:22:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:22:I,"","","PIO10_420:I.Data[22]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:22:O,"","","PIO10_420:O.Data[22]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:23:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:23:I,"","","PIO10_420:I.Data[23]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:23:O,"","","PIO10_420:O.Data[23]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:2:I,"","AB:1734_IB8S_Safety2:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:3:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:4:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:4:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:5:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:5:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO10_420:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:6:I,"","","PIO10_420:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:7:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:7:I,"","","PIO10_420:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:8:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:8:I,"","","PIO10_420:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:9:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO10_420:9:I,"","","PIO10_420:I.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO10_420:I,"","AB:1734_24SLOT:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO10_420:O,"","AB:1734_24SLOT:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_12:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_12:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_12:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_18:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_18:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_18:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_3:C,"","AB:1732E_IB8SOE:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_3:I,"","AB:1732_IB8SOE:I:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,IB10_3:O,"","AB:1732_IB8SOE:O:0","","(Class := Standard, ExternalAccess := Read/Write)"
TAG,,PIO12_420:1:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:1:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:2:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:2:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:3:I,"","AB:1734_IB8S_Safety4:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:3:O,"","AB:1734_IB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:4:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:4:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:5:I,"","AB:1734_OB8S_Safety1:I:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:5:O,"","AB:1734_OB8S:O:0","","(Class := Safety, ExternalAccess := Read/Write)"
TAG,,PIO12_420:6:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:6:I,"","","PIO12_420:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO12_420:7:C,"","AB:1734_DI8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:7:I,"","","PIO12_420:I.Data[7]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO12_420:8:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:8:I,"","","PIO12_420:I.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:8:O,"","","PIO12_420:O.Data[8]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,PIO12_420:9:C,"","AB:1734_DOB8:C:0","","(Class := Standard, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:9:I,"","","PIO12_420:I.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,PIO12_420:9:O,"","","PIO12_420:O.Data[9]","(RADIX := Binary, ExternalAccess := Read/Write)"
